"","Fips","Country","High School Graduation Rate","High School Graduates With College Intentions","Adequate Yearly Progress in Math","Adequate Yearly Progress in Reading","Classroom Language Barriers","Student-Computer Ratios","Student-Teacher Ratios","Teacher Education Levels","School District Property Tax Capacity","School District Property Tax Effort","Hospital Access","Nursing Home and Residential Care Access","Primary Medical Care Access","Dental Care Access","Uninsured Population","Teen Mothers","Low Birthweight Births","Young Children Living With a Single Parent","Young Children With All Parents in Labor Force","Juvenile Delinquency","Child Maltreatment","Poverty Rate","Low-Income Elderly Residents","Food Assistance Program Recipients","Family Investment Program (TANF)","Free and Reduced School Lunch","Income Inequality","Housing Affordability Index","Cost-Burdened Renter Households","Cost-Burdened Owner Households","Cultural and Environmental Organizations","Natural Amenities","Public Spending on Parks and Recreation","Access to Parks","Recreational Trails","Voting Rate","Census Participation Rate","Assets of Public Charities","Library Usage","Religious Adherence","Religious Diversity","Racial and Ethnic Diversity","Recent Immigrants","Political Party Imbalance","Cluster"
"1","19000","Iowa",0.892648225991358,0.780807077728627,0.767703801087217,0.706093526606347,0.0475828054678277,2.26822606853379,14.0385862516213,0.327732578705341,1,1,3.84393808338162,12.5635390491259,1081.32779349363,0,0.104,79.1459013576216,0.067545970097955,0.271829600311149,0.742,36.1365123320603,16.096482067299,0.127,6.68502354854828,134.199101811016,12.9273245015103,0.402889726548688,0.4281,2.40431309587521,0.446834613939601,0.196678770033402,0.705104953296645,4.04008132442637,70.8980461656861,0.664178009457204,0.859758840984632,0.676220093882656,0.79,7180.30354954382,6.57745441822955,0.539,68.0332192926391,0.113,0.0182530160612558,0.322036889993083,2
"2","19001","Adair",0.972222222222222,0.810810810810811,0.769911504424779,0.693215339233038,0.00116414435389988,1.70611854684512,10.79125,0.1375,0.817563345939767,1.07859294776416,3.25436084353033,24.0822702421244,1528.4,NA,0.104,61.9469026548673,0.0663716814159292,0.226824457593688,0.842,30.1910043130006,6.16142945163278,0.112,6.6747572815534,116.695628926614,8.2876620772624,0.410942956926659,0.399,1.9591373915965,0.33033033033033,0.196210027635215,0.650872168706066,5.12247071352503,41.4830178895515,0.527206456651914,0,0.686241037896893,0.81,1097.50026571011,4.72891760904685,0.504,NA,0.023,0.0016885309780491,0.39161653405783,3
"3","19003","Adams",1,0.725490196078431,0.819767441860465,0.680232558139535,0.0115830115830116,1.31603053435115,10.8851063829787,0.297872340425532,1.52753461408085,0.615480292583028,5.46041201290643,29.0394638868206,4077,NA,0.126,84.5070422535211,0.0985915492957746,0.21031746031746,0.839,35,27.5,0.134,5.19815473065266,120.429557657888,8.94911787266684,0.457528957528958,0.4445,1.82702921895064,0.319838056680162,0.209268645908762,1.48920327624721,5.75079872204473,12.1660305343511,0.523206751054852,0,0.709096753455481,0.8,5200.21328671329,9.61169801597526,0.35,NA,0.027,0.000979192166462668,0.340092493774457,2
"4","19005","Allamakee",0.943502824858757,0.803468208092486,0.761904761904762,0.692491060786651,0.0800355713650511,1.8306905370844,14.7187919463087,0.25503355704698,1.18861244154361,0.673397495394152,1.74459176552687,22.3307745987439,1840.25,NA,0.162,89.6686159844055,0.0604288499025341,0.235803657362849,0.727,26.0269677014738,12.5431169645657,0.151,10.0799443865137,124.183465617757,17.4896396712791,0.545575811471765,0.3679,2.29531170375403,0.324828263002944,0.211927582534611,0.372179576645732,6.52822151224707,59.948634766153,0.451570132588974,0,0.634051412020275,0.69,653.08389379291,5.16194387405886,0.646,NA,0.07,0.0269760290726116,0.447455523376086,3
"5","19007","Appanoose",0.878571428571429,0.774647887323944,0.759326113116727,0.711191335740072,0.00533721494420184,2.6491847826087,12.6454545454545,0.363636363636364,0.655079781055024,1.84666440519259,1.93993947388841,13.3467835803523,1306.5,31.1,0.123,120.614035087719,0.0723684210526316,0.329024676850764,0.73,56.8060021436227,21.793497677742,0.163,12.3827392120075,184.015748031496,21.1811023622047,0.473556525958273,0.4317,2.08061311382345,0.449342614075793,0.257471264367816,1.1380978246812,6.27263045793397,17.7320816569811,0.134709397066812,0.386493911142857,0.635895364104636,0.75,1378.2304055638,4.49394038650508,0.395,65.6087022057754,0.032,0.00410026303574192,0.33340860336457,3
"6","19009","Audubon",0.959183673469388,0.807692307692308,0.84192439862543,0.681506849315068,0.00397350993377483,1.20215384615385,13.0413793103448,0.172413793103448,1.49032868515615,0.609571415949362,4.08563490766465,30.0702729204118,1607.5,NA,0.129,94.9720670391062,0.0837988826815642,0.280555555555556,0.882,5.79950289975145,14.0845070422535,0.098,7.04225352112676,98.9847715736041,6.42978003384095,0.340397350993377,0.4306,1.70172084130019,0.193467336683417,0.166273027869627,1.47082856675927,4.74973375931843,48.5823510672189,0.445007354142834,1.22399786779539,0.745481607484584,0.82,596.525936360623,5.93066801619433,0.788,NA,0.018,0,0.371652816251154,3
"7","19011","Benton",0.872549019607843,0.816949152542373,0.780471821756225,0.719711853307138,0.00393184796854522,2.73206599713056,13.6168498168498,0.435897435897436,1.02662411633798,0.930773239276362,0.958736002454364,9.51066114434729,2996.44444444444,NA,0.092,57.1095571095571,0.0629370629370629,0.2072707542051,0.804,26.9670050761421,11.4213197969543,0.09,4.78812544888676,97.7271847291594,7.24048476400666,0.297509829619921,0.3755,2.30603834438273,0.307962529274005,0.186876577334455,0.58802474817201,2.91799787007455,56.3385505526296,0.337666820064427,0.962778356894271,0.722583619320801,0.82,1593.84433926108,6.2146996951874,0.53,NA,0.0259999999999999,0.00571121928782245,0.295462437782151,3
"8","19013","Black Hawk",0.838760921366164,0.759036144578313,0.668038019577245,0.620053893064814,0.0560933634505755,2.27733588272785,13.9687306501548,0.301857585139319,0.982211047898876,1.00274937393611,4.55412312151957,10.847509344725,906.769230769231,NA,0.112,87.8405053296486,0.0852743782076589,0.348939036712698,0.685,46.3048911103177,20.0999642984648,0.164,5.26399744775881,153.724776209983,18.6011227431346,0.485210282886953,0.437,2.72847622680459,0.54048309178744,0.185743254661184,0.617896101914715,3.54632587859425,88.052907871156,0.878137157677931,1.04655908698036,0.649918119641653,0.79,6893.38786307764,5.02137077838595,0.543,NA,0.161,0.0146932185145318,0.357653023000275,2
"9","19015","Boone",0.900355871886121,0.785454545454545,0.778743315508021,0.72812291249165,0.00877872450296927,1.93264064875824,14.6579150579151,0.324324324324324,0.937243970821425,1.11974748819613,0.950353531513723,44.8947008287083,1280.47619047619,30.4,0.095,71.1938663745893,0.0755750273822563,0.227432590855803,0.684,31.7693059628544,16.6177908113392,0.099,2.7403516784654,109.524718457721,10.9562893682,0.335140717789827,0.4086,2.2546624791594,0.427029563585171,0.208292079207921,0.785625586051344,3.24813631522897,32.8393018356906,0.648559264046225,0.806173742382232,0.721045021688189,0.81,3640.52508093696,4.44449096098953,0.533,65.9294356476074,0.042,0.00147839272175891,0.317499717928467,3
"10","19017","Bremer",0.963235294117647,0.852380952380952,0.826716738197425,0.766630901287554,0.0251923076923077,2.61066666666667,13.4895480225989,0.338983050847458,0.94451061813903,1.02411361728084,2.05964738836711,11.6164112703905,1735.57142857143,38,0.076,53.4458509142053,0.0759493670886076,0.176143386897404,0.768,24.1770503998512,8.36897898456388,0.076,2.52931708438722,56.905919359451,4.04428285469178,0.208653846153846,0.4059,2.38813129582677,0.358565737051793,0.161851947381996,1.05728565936178,3.45047923322684,78.9109367789571,0.663247652001977,1.14481411295647,0.701444874882211,0.86,2676.3567192455,10.335883797054,0.702,50.7679288075734,0.034,0.00775865626676571,0.315802438723981,3
