"FipsCode","Percent_515Properties"
"19001",3.54253835425384
"19003",0.423728813559322
"19005",0.965049556598852
"19007",2.22010783380907
"19009",1.57875852170793
"19011",1.23690863127483
"19013",0.0922146894584949
"19015",0.662696082543411
"19017",0.95383441434567
"19019",2.23947783029485
"19021",0.417639110674364
"19023",2.7233782129743
"19025",1.06895828966674
"19027",1.97049525816649
"19029",0.953422944670209
"19031",1.5018315018315
"19033",0.318541786488519
"19035",1.02554875854624
"19037",0.686664257318395
"19039",3.23336457357076
"19041",1.4305093106425
"19043",1.05046814341174
"19045",0.106892224752521
"19047",0.131291028446389
"19049",0.675987841945289
"19051",1.67644593461861
"19053",1.9709827539009
"19055",1.11111111111111
"19057",0.212969864764136
"19059",0.511284785625593
"19061",0.0562983814215341
"19063",0.893854748603352
"19065",0.849645084964508
"19067",0.984413453650533
"19069",0.515463917525773
"19071",0.739549839228296
"19073",0.255279647249942
"19075",1.02470265324794
"19077",0.363762341936601
"19079",0.625266448770783
"19081",0.469391746528457
"19083",1.43177290836653
"19085",0.420105026256564
"19087",1.76232436294356
"19089",0.533147890588781
"19091",2.95340188142638
"19093",1.19331742243437
"19095",2.7244244653317
"19097",0.99556325073044
"19099",0.998016364988842
"19101",1.35258161009234
"19103",0.0849566114448692
"19105",1.7698117461391
"19107",1.91233347657929
"19109",0.332594235033259
"19111",1.18552150334216
"19113",0.189667094734762
"19115",1.01867572156197
"19117",0.295712173484475
"19119",0.0207598090097571
"19121",1.04151598437726
"19123",2.57231404958678
"19125",0.298443828607973
"19127",0.441922962078232
"19129",0.932896890343699
"19131",0.866515370332164
"19133",0.228675966155957
"19135",NA
"19137",0.878769722388656
"19139",0.41380812370685
"19141",0.490496627835684
"19143",0.0347463516330785
"19145",1.24588285837033
"19147",NA
"19149",0.887409872434831
"19151",0.763775231860338
"19153",0.068511399535645
"19155",0.0928435210278029
"19157",2.49270154951718
"19159",NA
"19161",0.31262211801485
"19163",0.0552905324606859
"19165",0.664084117321527
"19167",0.0923076923076923
"19169",0.191001184690892
"19171",1.58415841584158
"19173",1.10918544194107
"19175",2.83540802213001
"19177",3.82857142857143
"19179",0.343205796364561
"19181",0.843841396173946
"19183",1.36843204846965
"19185",2.90909090909091
"19187",0.318828600106276
"19189",1.1818002757534
"19191",0.257963212202782
"19193",0.154563124985363
"19195",1.26436781609195
"19197",1.08626198083067
