"FIPS","MultiFamHomeConstructPct"
19001,0
19003,0
19005,0.225988700564972
19007,0
19009,0
19011,1.04895104895105
19013,19.7456279809221
19015,2.78884462151394
19017,2.55623721881391
19019,3.01647655259823
19021,3.41137123745819
19023,0.0801603206412826
19025,0
19027,0.268006700167504
19029,0.1
19031,7.30769230769231
19033,4.76351351351351
19035,0.0427807486631016
19037,0.151706700379267
19039,0
19041,4.57264957264957
19043,0
19045,5.70119156736939
19047,0.346820809248555
19049,127.410714285714
19051,0
19053,0
19055,3.36065573770492
19057,1.44493392070485
19059,13.8219895287958
19061,12.2434150772025
19063,2.15126050420168
19065,0.0304182509505703
19067,0.327868852459016
19069,0.111111111111111
19071,0
19073,0.315789473684211
19075,0.0477326968973747
19077,0
19079,0.0778623252521678
19081,1.62025316455696
19083,0
19085,0.00705436268242141
19087,2.27272727272727
19089,0.43360433604336
19091,0.104712041884817
19093,0.0280112044817927
19095,1.08317214700193
19097,0.153256704980843
19099,1.91919191919192
19101,0.922346558155307
19103,194.666666666667
19105,0.472972972972973
19107,0
19109,0
19111,0.0408632358574895
19113,208.466257668712
19115,0
19117,0
19119,0.158415841584158
19121,1.64978292329957
19123,1.49114631873253
19125,10.2777777777778
19127,0.487144790257104
19129,0.312744331508991
19131,0.336960336960337
19133,0.0788954635108481
19135,0
19137,0.0524246395806029
19139,10.259067357513
19141,0.466200466200466
19143,0
19145,0
19147,0
19149,2.58016405667412
19151,0
19153,253.173076923077
19155,2.37205523964257
19157,0.038373905744094
19159,0
19161,0.0409165302782324
19163,14.9027635619243
19165,0.799200799200799
19167,11.2871287128713
19169,47.2941176470588
19171,0.219010074463425
19173,0
19175,0.114777618364419
19177,0
19179,1.55555555555556
19181,0.0591583046278269
19183,0.225563909774436
19185,0
19187,0.125801987671405
19189,0.303030303030303
19191,1.18323746918652
19193,75.5555555555556
19195,0.10840108401084
19197,0
