"FipsCode","HCVPercentPerHouseHold"
"19001",0.446304044630404
"19003",0
"19005",0.76943140323422
"19007",0.618458610846813
"19009",0
"19011",0
"19013",2.21656790587271
"19015",0.60397617649526
"19017",0.400610454025181
"19019",0.202565833896016
"19021",0.712443188797445
"19023",0
"19025",0.880318591490254
"19027",1.53846153846154
"19029",3.07908721475461
"19031",0.378510378510378
"19033",2.34039729239481
"19035",0.521770421014753
"19037",0.397542464763282
"19039",0.63261480787254
"19041",2.35540757183377
"19043",0.856359899520438
"19045",2.08207463865781
"19047",1.00656455142232
"19049",0.826747720364742
"19051",0
"19053",0.355871886120996
"19055",0.62962962962963
"19057",1.11809179001171
"19059",1.14673873347455
"19061",2.054890921886
"19063",1.5195530726257
"19065",1.65627016562702
"19067",2.24227508887066
"19069",0.515463917525773
"19071",0
"19073",0.626595497795312
"19075",0
"19077",0.831456781569375
"19079",0.980531476481455
"19081",0.645413651476628
"19083",0.161852589641434
"19085",1.8304576144036
"19087",1.13122171945701
"19089",0.90403337969402
"19091",1.09385254867644
"19093",0.536992840095465
"19095",0
"19097",1.52580889514122
"19099",0.638482519216464
"19101",1.67772142021069
"19103",1.98586079252382
"19105",1.14981400067636
"19107",0.558659217877095
"19109",0.637472283813747
"19111",1.16660360701223
"19113",0.862392571372123
"19115",0.8276740237691
"19117",0.295712173484475
"19119",0
"19121",0.477361492839578
"19123",1.81818181818182
"19125",1.78355716620479
"19127",1.30188115855479
"19129",2.06219312602291
"19131",0.30946977511863
"19133",0.937571461239424
"19135",1.26512651265127
"19137",1.75753944477731
"19139",1.73146030708919
"19141",0.613120784794605
"19143",0.660180681028492
"19145",0.959473005871402
"19147",1.63861824623561
"19149",0.554631170271769
"19151",0
"19153",1.21655311536558
"19155",2.25082806383619
"19157",1.81899842802605
"19159",1.38473053892216
"19161",0.898788589292692
"19163",1.27811137827725
"19165",1.56797638812027
"19167",0.107692307692308
"19169",0.628611493919393
"19171",0
"19173",0.901213171577123
"19175",1.60788381742739
"19177",0
"19179",0.953349434346002
"19181",0.704799347940739
"19183",0.710331139663637
"19185",0
"19187",3.68424160122808
"19189",0.590900137876699
"19191",0.605652759084791
"19193",2.6744104353528
"19195",0
"19197",1.05431309904153
