"FIPS","ZillowHousePriceIndex"
"19001",25.6788731499714
"19003",NA
"19005",22.749521174718
"19007",19.4902702925083
"19009",21.3154234226753
"19011",21.2641702036211
"19013",21.086403028672
"19015",23.5637317210027
"19017",19.4155512517762
"19019",22.8632094144744
"19021",23.3984913398016
"19023",20.8632245130604
"19025",23.7312969395874
"19027",20.5384724913484
"19029",19.6964268549508
"19031",19.9886653442902
"19033",22.6983137233639
"19035",25.4195636080562
"19037",20.2558240945069
"19039",24.553048923221
"19041",19.465408165341
"19043",20.7219591320545
"19045",9.10879295408605
"19047",21.4766922094508
"19049",26.1234052077893
"19051",24.1641045349731
"19053",15.7983576169913
"19055",23.0883138449497
"19057",18.1368775071924
"19059",24.3337372338584
"19061",27.1548104670443
"19063",20.1285205080576
"19065",21.7395221597005
"19067",21.6013013394768
"19069",21.1963565668203
"19071",19.5718294843454
"19073",24.3172012924888
"19075",20.5950901625732
"19077",23.2720042732506
"19079",NA
"19081",23.1338349652111
"19083",NA
"19085",22.763129563294
"19087",21.4662860490942
"19089",24.7657025819265
"19091",25.958847486936
"19093",21.1049773148872
"19095",22.312560289176
"19097",22.2127157738955
"19099",22.259252205929
"19101",20.3498927215712
"19103",20.7073603999152
"19105",21.5913495295605
"19107",17.3965541733466
"19109",22.8805415117202
"19111",19.0458170272465
"19113",26.8165958377304
"19115",21.345187840483
"19117",30.9901330779031
"19119",24.637296532201
"19121",25.475379888732
"19123",19.1969357140777
"19125",26.7631020902757
"19127",20.6429741187995
"19129",23.9784578170284
"19131",23.3723714857462
"19133",24.5454124832277
"19135",23.8449918487609
"19137",20.5582000474976
"19139",20.1910226701487
"19141",22.7771602135554
"19143",18.9037894280518
"19145",20.7856505153802
"19147",21.7380137695628
"19149",25.8161541728815
"19151",23.192933966232
"19153",28.261814763313
"19155",28.6897811583597
"19157",20.8723305530721
"19159",14.8324104934953
"19161",25.4037042769437
"19163",21.7096646159952
"19165",19.5630005391046
"19167",25.6854099758678
"19169",20.7606014255951
"19171",20.9633884697903
"19173",28.4361350369433
"19175",16.3243460226132
"19177",29.0566448436951
"19179",19.0581915458179
"19181",29.0643889716564
"19183",22.1361806645289
"19185",21.7662967453138
"19187",21.4684468211956
"19189",19.4144165595187
"19191",21.5402726373264
"19193",19.3094191979944
"19195",17.2495655412115
"19197",25.7795566129992
