FIPS,geoid,TotalResidentialAddresses,VacantResidentialAddresses,AverageDaysAddressesVacant,vac_36_res
19013,19013002500,2856,136,1031.44,30
19091,19091970400,1443,42,901.48,12
19151,19151780200,1653,160,1744.29,68
19147,19147960300,1994,116,1723.78,47
19029,19029190300,822,0,0,0
19013,19013002603,4809,48,639.65,7
19197,19197680500,1657,97,1606.57,47
19013,19013001502,1907,30,1127.4,6
19013,19013000800,1703,124,2166.45,69
19181,19181020600,1614,0,0,0
19169,19169000100,5713,2,1907,2
19099,19099040700,2370,55,2243.02,40
19117,19117950400,1283,102,2217.98,58
19181,19181021000,1443,83,991.92,27
19033,19033951600,2317,131,1561.11,50
19195,19195690200,978,0,0,0
19153,19153004702,1639,18,606.06,4
19153,19153010405,3287,138,365.66,3
19131,19131560100,1567,0,0,0
19153,19153010404,2149,39,682.77,9
19109,19109950300,1172,0,0,0
19193,19193000100,2119,252,1433.68,67
19155,19155030100,2663,70,1447.36,28
19141,19141490100,1342,68,2200.99,39
19179,19179960700,1657,0,0,0
19163,19163013300,1871,50,1492.1,23
19045,19045000200,887,94,1714.12,63
19007,19007950200,1129,0,0,0
19163,19163012902,3015,46,832.15,12
19163,19163010202,2637,4,390.25,0
19163,19163011400,1207,198,1894.17,138
19163,19163013100,872,24,2020.04,8
19103,19103000200,3215,31,882.61,5
19085,19085290400,1611,107,1939.51,60
19129,19129040202,1653,2,2262,1
19113,19113000201,2749,198,1001.88,68
19061,19061000100,2993,298,2551.59,177
19105,19105070500,1360,0,0,0
19061,19061001201,2081,59,1293.75,18
19171,19171290100,1327,0,0,0
19005,19005960200,1238,0,0,0
19005,19005960100,1313,0,0,0
19193,19193000700,1380,18,1911.83,8
19013,19013000500,639,57,1846.84,27
19021,19021960500,1755,53,2670.08,32
19153,19153001800,889,39,1341.15,16
19047,19047070100,924,0,0,0
19113,19113000100,7634,252,2486.68,147
19137,19137960100,995,0,0,0
19061,19061000900,1462,58,2005.91,46
19163,19163011900,1237,27,1200.07,7
19113,19113003001,5342,231,1616.29,104
19061,19061001202,968,27,996.22,6
19163,19163012502,2081,30,1342,14
19013,19013000400,775,38,1227.92,10
19187,19187000100,3350,106,897.27,22
19121,19121060100,3291,0,0,0
19049,19049050200,1837,0,0,0
19013,19013001200,1096,112,1721.02,103
19133,19133960200,1111,0,0,0
19113,19113002800,2047,100,1868.76,49
19111,19111490700,2039,127,1334.01,44
19039,19039960100,2488,154,1716.69,79
19153,19153000400,2117,131,1639.72,57
19055,19055950200,1393,0,0,0
19151,19151780100,1083,99,2173.33,43
19195,19195690300,1306,0,0,0
19085,19085290100,1337,53,3001.64,35
19135,19135070200,1434,70,3667.41,65
19017,19017004600,2453,0,0,0
19155,19155031800,1491,25,72.8,0
19013,19013000300,1572,269,2325.29,205
19153,19153011001,2040,81,1493.2,50
19013,19013002000,2471,64,1138.09,25
19155,19155030502,1048,37,1985.35,30
19103,19103001600,4214,145,1067.05,25
19163,19163011200,1028,66,1427.24,36
19049,19049050400,1373,121,1709.09,52
19181,19181021100,2242,0,0,0
19073,19073080300,1527,56,1648.55,25
19153,19153010705,2073,18,819.33,6
19091,19091970200,964,0,0,0
19061,19061000701,1160,69,1452.93,29
19029,19029190400,2122,101,815.71,20
19015,19015020300,3218,233,1276.86,82
19113,19113001002,1434,26,482.62,3
19139,19139050500,2968,61,1269.03,22
19061,19061010500,2248,83,1339.43,28
