FIPS,geoid,TotalResidentialAddresses,VacantResidentialAddresses,AverageDaysAddressesVacant,vac_36_res
19113,19113000902,3044,55,1027.4,8
19105,19105070100,1774,0,0,0
19085,19085290300,1372,28,2012.32,19
19005,19005960500,1536,0,0,0
19129,19129040301,1206,46,1776.63,22
19043,19043070200,1682,0,0,0
19191,19191950100,1758,0,0,0
19153,19153000802,1822,40,990.18,13
19075,19075960400,970,0,0,0
19017,19017004300,840,0,0,0
19155,19155030601,975,40,2530.78,29
19179,19179960500,1215,252,1400.33,99
19153,19153010702,2510,0,0,0
19125,19125030200,3302,64,1783.02,27
19117,19117950100,1152,0,0,0
19069,19069360300,1028,0,0,0
19077,19077950300,2376,97,2102.11,58
19125,19125030600,1264,0,0,0
19153,19153011404,4241,0,0,0
19121,19121060300,1902,0,0,0
19013,19013002800,1266,0,0,0
19013,19013002902,1716,20,1737.5,9
19145,19145490100,1208,0,0,0
19175,19175190200,2568,280,1731.12,144
19013,19013000200,1265,101,1433.64,36
19021,19021960100,819,0,0,0
19169,19169000900,2781,97,1501.87,54
19169,19169001200,593,0,0,0
19157,19157370400,2799,235,2085.83,127
19153,19153010409,1700,28,904.57,7
19049,19049050803,5929,0,0,0
19033,19033951000,1344,0,0,0
19167,19167070700,4820,92,2006.35,73
19133,19133960300,1618,204,2615.66,165
19193,19193000500,1231,26,845.46,3
19035,19035080100,2821,218,1478.55,83
19047,19047070200,1157,0,0,0
19155,19155031900,1629,22,1708.14,12
19057,19057000200,2218,180,1904.9,109
19045,19045000500,2459,124,964.38,28
19163,19163013702,2881,163,1970.94,95
19107,19107080400,1408,0,0,0
19095,19095960200,1878,71,2567.17,50
19103,19103000301,4694,21,1656.05,7
19113,19113001300,1852,123,1858.33,58
19113,19113000205,2060,0,0,0
19103,19103001400,2307,26,971.31,5
19163,19163012701,1342,36,1419.89,19
19055,19055950300,2562,75,1620.53,43
19045,19045001100,1137,0,0,0
19011,19011960700,1379,87,2511.77,60
19165,19165960400,1247,64,2049.19,32
19011,19011960500,2387,0,0,0
19155,19155021400,1540,0,0,0
19153,19153011025,1467,10,366.5,1
19163,19163010700,777,174,2273.24,103
19113,19113000800,2217,70,1281.83,25
19113,19113000700,1247,54,1233.5,15
19061,19061000400,1733,49,1441.37,21
19193,19193001300,822,103,1771.06,48
19013,19013001501,1590,15,1374.07,4
19127,19127950800,3130,58,1271.29,24
19153,19153000901,1695,44,906.86,16
19153,19153011114,2796,37,402.62,3
19049,19049050807,5030,0,0,0
19023,19023070300,1486,0,0,0
19147,19147960200,930,0,0,0
19075,19075960300,1487,109,1141.8,34
19019,19019950200,1649,0,0,0
19025,19025950100,1391,0,0,0
19175,19175190300,1022,0,0,0
19019,19019950100,1159,0,0,0
19153,19153010802,4374,21,2799.05,15
19049,19049050902,2422,0,0,0
19169,19169000500,1540,12,49,0
19181,19181020900,1775,30,749.73,7
19033,19033950200,3533,155,1714.97,71
19033,19033950300,2633,183,1943.2,107
19153,19153000300,1848,63,972.24,21
19153,19153010408,1643,38,1075.58,11
19189,19189680200,1369,0,0,0
19153,19153004300,2397,57,1645.88,23
19041,19041080300,3284,105,1931.93,56
19093,19093090200,1103,0,0,0
19167,19167070200,1804,0,0,0
19143,19143460100,1617,72,906.58,16
19027,19027960400,2076,118,1349.91,41
19027,19027960200,1082,0,0,0
19059,19059450800,1823,62,1081.32,19
19177,19177950200,1820,0,0,0
19111,19111490100,2176,122,1535.94,51
19045,19045000100,1725,437,1889.88,257
19139,19139050400,1676,0,0,0
19101,19101090100,1302,0,0,0
19163,19163010401,2580,0,0,0
19163,19163013706,4335,5,2378.6,4
19051,19051080200,2001,21,1928.19,11
19045,19045000900,3005,86,1045.22,24
19123,19123950100,1557,0,0,0
19103,19103000400,3638,11,1666.55,6
19007,19007950300,1779,254,1741.7,141
19031,19031450500,2770,0,0,0
19113,19113001102,1817,60,309.32,3
19097,19097950200,1758,12,3146.83,8
19043,19043070600,1636,0,0,0
19039,19039960200,1084,0,0,0
19023,19023070500,1451,0,0,0
19193,19193001500,849,64,2914.16,53
19163,19163010800,1319,143,1808.23,73
19111,19111491100,1546,137,1732.37,71
19193,19193001100,1548,57,2499.84,34
19031,19031450100,1344,0,0,0
19049,19049050300,2083,95,1446.18,32
19125,19125030401,2082,45,2651.87,27
19181,19181020200,4893,28,1716.5,22
19049,19049050809,6396,0,0,0
