"FipsCode","PercentMultiFamAssistPerHouseold","PercentHudSec8Lost5Year"
"19001",1.00418410041841,0
"19003",NA,0
"19005",0.208659363588941,100
"19007",0.808753568030447,100
"19009",NA,0
"19011",0.650054171180932,0
"19013",1.63595689817108,33.6116910229645
"19015",0.285210972233873,0
"19017",0.963372758489126,0
"19019",NA,0
"19021",1.49858739712566,13.1147540983607
"19023",NA,0
"19025",1.04799832320268,100
"19027",0.305584826132771,20.6896551724138
"19029",0.453266645826821,0
"19031",0.183150183150183,0
"19033",1.64137503871168,47.7088948787062
"19035",1.11550917596258,0
"19037",NA,0
"19039",1.59325210871603,100
"19041",1.75114070785547,8.45070422535211
"19043",0.114181319936058,100
"19045",0.831900357856579,11.1731843575419
"19047",1.86725018234865,42.1875
"19049",NA,0
"19051",NA,0
"19053",0.273747604708459,100
"19055",0.0987654320987654,100
"19057",2.51836865083591,30.8668076109937
"19059",NA,0
"19061",0.999296270232231,34.7417840375587
"19063",NA,0
"19065",0.591525059152506,0
"19067",0.164068908941756,100
"19069",0.257731958762887,100
"19071",NA,0
"19073",1.11394755163611,100
"19075",NA,0
"19077",NA,0
"19079",0.0710530055421344,100
"19081",NA,0
"19083",NA,0
"19085",1.54538634658665,30.0970873786408
"19087",0.869254584424863,34.2465753424658
"19089",NA,0
"19091",NA,0
"19093",0.715990453460621,100
"19095",NA,0
"19097",1.45005951736825,0
"19099",1.22117530374411,28.9340101522843
"19101",1.46963194173495,36.283185840708
"19103",0.914800655379574,1.82421227197347
"19105",0.450907451245632,0
"19107",0.171895143962183,100
"19109",0.692904656319291,100
"19111",0.378357926598562,100
"19113",1.14590536402252,44.2241379310345
"19115",NA,0
"19117",2.02069985214391,29.2682926829268
"19119",0.705833506331742,0
"19121",NA,0
"19123",1.21900826446281,33.8983050847458
"19125",0.376607688481489,100
"19127",0.961481039116154,16.1490683229814
"19129",0.736497545008183,0
"19131",NA,0
"19133",0.548822318774297,100
"19135",1.32013201320132,100
"19137",1.67765128819652,0
"19139",1.61167374496352,60.472972972973
"19141",0.781729000613121,94.1176470588235
"19143",0.555941626129256,100
"19145",1.13131891737076,100
"19147",0.664304694419841,46.6666666666667
"19149",1.08153078202995,36.7521367521368
"19151",NA,0
"19153",0.893027062002817,36.0149174214172
"19155",1.57081200441634,69.1693290734824
"19157",1.02178306759488,100
"19159",0.29940119760479,100
"19161",0.31262211801485,0
"19163",1.3694050481542,65.9154929577465
"19165",1.18059398634938,100
"19167",0.984615384615385,59.375
"19169",0.797853049974614,19.0909090909091
"19171",NA,0
"19173",NA,0
"19175",1.15836791147994,100
"19177",NA,0
"19179",0.572009660607601,0
"19181",1.01165076473127,33.175355450237
"19183",0.501410216233156,0
"19185",NA,0
"19187",1.47605833382535,0
"19189",0.965136891865275,100
"19191",0.381336922386721,100
"19193",2.28566075735931,26.5368852459016
"19195",NA,0
"19197",0.191693290734824,0
