"FipsCode","Percent_515Properties","PercentUSDAsec515Lost5Year"
"19001",3.54253835425384,0
"19003",0.423728813559322,0
"19005",0.965049556598852,0
"19007",2.22010783380907,51.4285714285714
"19009",1.57875852170793,65.9090909090909
"19011",1.23690863127483,4.37956204379562
"19013",0.0922146894584949,0
"19015",0.662696082543411,0
"19017",0.95383441434567,0
"19019",2.23947783029485,0
"19021",0.417639110674364,0
"19023",2.7233782129743,0
"19025",1.06895828966674,0
"19027",1.97049525816649,0
"19029",0.953422944670209,0
"19031",1.5018315018315,0
"19033",0.318541786488519,0
"19035",1.02554875854624,0
"19037",0.686664257318395,0
"19039",3.23336457357076,0
"19041",1.4305093106425,0
"19043",1.05046814341174,0
"19045",0.106892224752521,0
"19047",0.131291028446389,0
"19049",0.675987841945289,0
"19051",1.67644593461861,0
"19053",1.9709827539009,0
"19055",1.11111111111111,0
"19057",0.212969864764136,0
"19059",0.511284785625593,0
"19061",0.0562983814215341,0
"19063",0.893854748603352,0
"19065",0.849645084964508,0
"19067",0.984413453650533,0
"19069",0.515463917525773,0
"19071",0.739549839228296,0
"19073",0.255279647249942,0
"19075",1.02470265324794,0
"19077",0.363762341936601,0
"19079",0.625266448770783,0
"19081",0.469391746528457,0
"19083",1.43177290836653,0
"19085",0.420105026256564,0
"19087",1.76232436294356,0
"19089",0.533147890588781,100
"19091",2.95340188142638,0
"19093",1.19331742243437,0
"19095",2.7244244653317,0
"19097",0.99556325073044,0
"19099",0.998016364988842,14.9068322981366
"19101",1.35258161009234,0
"19103",0.0849566114448692,0
"19105",1.7698117461391,0
"19107",1.91233347657929,35.9550561797753
"19109",0.332594235033259,0
"19111",1.18552150334216,0
"19113",0.189667094734762,3.125
"19115",1.01867572156197,0
"19117",0.295712173484475,0
"19119",0.0207598090097571,0
"19121",1.04151598437726,0
"19123",2.57231404958678,0
"19125",0.298443828607973,0
"19127",0.441922962078232,0
"19129",0.932896890343699,0
"19131",0.866515370332164,0
"19133",0.228675966155957,0
"19135",NA,0
"19137",0.878769722388656,81.8181818181818
"19139",0.41380812370685,0
"19141",0.490496627835684,0
"19143",0.0347463516330785,0
"19145",1.24588285837033,0
"19147",NA,0
"19149",0.887409872434831,0
"19151",0.763775231860338,0
"19153",0.068511399535645,0
"19155",0.0928435210278029,0
"19157",2.49270154951718,0
"19159",NA,0
"19161",0.31262211801485,0
"19163",0.0552905324606859,0
"19165",0.664084117321527,0
"19167",0.0923076923076923,0
"19169",0.191001184690892,0
"19171",1.58415841584158,0
"19173",1.10918544194107,0
"19175",2.83540802213001,0
"19177",3.82857142857143,0
"19179",0.343205796364561,0
"19181",0.843841396173946,13.6363636363636
"19183",1.36843204846965,0
"19185",2.90909090909091,0
"19187",0.318828600106276,0
"19189",1.1818002757534,0
"19191",0.257963212202782,13.0434782608696
"19193",0.154563124985363,0
"19195",1.26436781609195,0
"19197",1.08626198083067,5.88235294117647
