"SingleFamHomeConstructPct","FIPS"
0.8529250956807,"19001"
0.0648353523289541,"19003"
1.56384505021521,"19005"
0.0203392964452457,"19007"
0.0618110641804883,"19009"
0.329345169175351,"19011"
3.19018404907975,"19013"
1.14539400665927,"19015"
1.07136371890321,"19017"
0.21180457497882,"19019"
0.340055357848952,"19021"
0.503937007874016,"19023"
0.288339670468948,"19025"
0.181234228033953,"19027"
0.163515585079203,"19029"
1.11671924290221,"19031"
1.38322753090545,"19033"
0.0641411104429745,"19035"
0.0356874530428249,"19037"
0.350123649616035,"19039"
0.462316397784734,"19041"
0.379263637483069,"19043"
0.711821887739103,"19045"
0.173952849622339,"19047"
25.5642023346303,"19049"
0.35650623885918,"19051"
0.0494233937397035,"19053"
0.233145521663105,"19055"
0.384353741496599,"19057"
3.90842872008325,"19059"
2.80360255665311,"19061"
0.167121418826739,"19063"
0.305526434027258,"19065"
0.339233038348083,"19067"
0.0833946529310768,"19069"
0.333667000333667,"19071"
0.16260162601626,"19073"
0.210126582278481,"19075"
0.34223851929457,"19077"
0.0217160749457098,"19079"
0.129151291512915,"19081"
0.0719314355677992,"19083"
0.0422294935257432,"19085"
0.861872146118721,"19087"
0.0877385391533231,"19089"
0.141933848688379,"19091"
0.0863223694002084,"19093"
0.227867015315652,"19095"
0.883674488267599,"19097"
2.43297587131367,"19099"
0.0596930073905628,"19101"
19.270913277053,"19103"
0.236018471010775,"19105"
0.0257759639136505,"19107"
0.410876132930514,"19109"
0.0244006990470538,"19111"
20.2511909917713,"19113"
0.295786061588331,"19115"
0.0679728108756497,"19117"
0.289022529395925,"19119"
1.3996751808652,"19121"
0.203683640303359,"19123"
3.52399737015122,"19125"
0.305655836341757,"19127"
0.0671558263897525,"19129"
0.280476225257468,"19131"
0.106438213914849,"19133"
0.0309071240921032,"19135"
0.134441889262339,"19137"
0.706270627062706,"19139"
0.317399617590822,"19141"
0.0296765258680384,"19143"
0.101621621621622,"19145"
0.0796051584142652,"19147"
0.585329711039763,"19149"
0.00345164816199735,"19151"
81.6493622070602,"19153"
1.79004037685061,"19155"
0.0868061681781291,"19157"
0.0278435194208548,"19159"
0.0603545831761599,"19161"
4.7003870278927,"19163"
0.232378001549187,"19165"
1.89949748743719,"19167"
3.81183317167798,"19169"
0.104860925975295,"19171"
0.110619469026549,"19173"
0.0861092227509631,"19175"
0.0323101777059774,"19177"
0.581969342686412,"19179"
0.269523340447655,"19181"
0.814441645675903,"19183"
0.000711769102103278,"19185"
0.169594185342217,"19187"
0.124269005847953,"19189"
0.319538617410958,"19191"
4.81918819188192,"19193"
0.0630914826498423,"19195"
0.559748427672956,"19197"
