"FIPS","Pct_popchg_10yr","Pct_PK12_enrollchg_10yr","Ann_pct_emp_chg_2010-19","Pct_emp_chg_2019-20","Unemp_rate_2021","Pct_transfer_pmt_dependence","Prop_tax_capacity_ratio","Prop_tax_effort_ratio","Diversity_index","Gini_index_income_inequality_EST","Pct_prime_working_age_EST","Old_age_dependency_ratio_EST","Pct_language_barrier_EST","Pct_disability_EST","Pct_poverty_EST"
"19131",-0.019580549368968,-0.0242236024844721,0.0193328998720248,-0.0903798170224563,3,0.146277179716219,119.847371871588,112.059125630595,0.089058206594787,0.4059,32.1,39.1,2.3,12.3,6.7
"19133",-0.05322947095099,0.0693641618497109,-0.00979278588880916,-0.0172903837044055,4.4,0.249819338717028,167.077710738822,115.63350173732,0.151822275374481,0.4256,32.2,46.5,0.5,15.4,12.8
"19135",-0.0493099121706398,-0.0556920556920557,0.00436911889276925,-0.0286611700039262,4.1,0.224099330526635,118.630425989843,135.575037772389,0.0981514512681028,0.4093,34.2,34.9,1.3,13.3,13.2
"19137",-0.0381750465549349,-0.113429641519529,-0.00115752579450412,-0.0332938989352712,4.1,0.299333331011428,100.762395330414,149.277876278083,0.133748150341724,0.4853,32.7,38.1,0.2,14.1,12.5
"19139",0.0114633290443327,-0.0757235364080877,0.00582152832087157,-0.045738420995632,4.7,0.193400815236319,82.6090017298001,116.15704668112,0.396542776320038,0.4228,36.7,28,4.4,11.1,9.6
"19141",-0.0150020836227254,0.0280731603572948,0.00304122902728388,-0.0219589085770192,3,0.18147426854969,143.855086644416,81.3221002194539,0.204162883939175,0.4186,33.1,37.4,2.2,14.7,11.1
"19143",-0.041782729805014,-0.0794451450189155,0.00177685622501245,-0.00056609114067363,2.4,0.175916277054467,165.067222547096,111.260003414403,0.245953038512643,0.3767,32.3,39,3.7,12.4,12.2
"19145",-0.0452548330404218,-0.053734756097561,-0.00402244140549779,-0.0401531999011614,4.1,0.274526856068894,85.5946176158652,115.484877021345,0.187781583781215,0.4252,36,38.4,0.8,13.8,12.4
"19147",-0.0451119838658317,-0.0186806771745476,0.00262976646273572,-0.0479216763998626,3.3,0.195490962595821,149.490168307951,120.822656339097,0.128500419434476,0.4015,32.8,39.6,1.9,15.4,5.7
"19149",0.0284959577363324,0.0728523967726626,0.00963192025834148,-0.0168735098123127,3,0.144790278862208,124.74142425031,81.0336411921596,0.198929099783102,0.4034,34.6,32.8,3.1,12.1,7.2
"19151",-0.0317373461012312,0.0704573547589618,0.0126151566997703,-0.0644696189495365,3.1,0.209932808663841,206.339928200467,107.182074571398,0.183399349164731,0.4103,30.6,41.1,1.8,14.7,11.2
"19153",0.14341677503251,0.0849657809426172,0.0135503576388376,-0.040181794447597,4.5,0.14128364325868,93.0018263908185,101.390805841253,0.440112424831624,0.4313,41.5,21.1,5.5,11.1,10.4
"19155",0.00546383563408392,-0.0145953118089341,0.00678461771218397,-0.0525323956248908,4.3,0.225777913296908,97.7325096590239,119.934891351986,0.276849543601014,0.4285,36.3,29.6,2.6,14.6,10.3
"19157",-0.0133234641006662,-0.0994957983193278,0.000224752847629794,-0.0431040933922023,4.4,0.194587939011573,116.23567533021,87.3244618648895,0.167869150486483,0.4815,31.2,33.9,1.2,11.4,10.9
"19159",-0.0912102903917364,-0.0141206675224647,-0.000572996793372305,-0.0221647580347248,3.4,0.249300978082245,149.508432939962,116.321258245733,0.0895422458015057,0.4189,29.1,46,1,13.4,10
"19161",-0.0517874396135266,-0.297922848664688,-0.00247228874706973,-0.0209190059002324,3.3,0.185847866097479,142.564207904176,108.904304101602,0.126963850837312,0.4246,31.7,43.2,1.4,10.2,10.5
"19163",0.057164818670411,-0.0149274651342071,0.006443564169482,-0.0623617634359331,5.4,0.171085455865453,92.7594446162782,85.1097913143716,0.392241245910058,0.4561,38.6,27,2.5,10.6,11.9
"19165",-0.0346017917317334,0.0394953373560065,-0.000132740441690427,-0.0554692169754931,3.2,0.214225674396931,134.292966191272,99.2758936477638,0.138509353829681,0.4471,32.4,42,1.3,11.7,8.9
"19167",0.0643247092333254,0.236859182349124,0.0118881424690378,-0.0138721351025332,2.4,0.132178671862354,100.542359198079,63.5498861907609,0.285330384234638,0.3847,32.3,27.1,4.1,9.2,5.5
"19169",0.100455652096223,0.0650085301248091,0.00911261886889281,-0.0464142928535732,3,0.138603214966884,90.2975049290481,74.8854381110242,0.333055860432357,0.4718,31.6,17.1,4.5,8.2,20
"19171",-0.0355715652614398,0.00611246943765287,0.00339090129360176,-0.0355377735937867,4.7,0.211039803629245,108.611502757286,121.637251196178,0.381381890783203,0.4316,33.3,35.5,3.6,10.7,12.6
"19173",-0.0666455596010764,-0.00391772771792365,0.0014360041920769,-0.0361621463983669,3.1,0.258801463770697,119.927380598465,153.891144813207,0.185548777176164,0.4341,31.3,42,4,14.2,7.1
"19175",-0.0315940641455241,-0.0407062285434037,-0.0111168234171657,-0.0345343473382371,4.5,0.264594391287778,76.2945420199947,154.945388880396,0.143290194834973,0.4222,34.7,35.4,1.8,15,11.9
"19177",-0.0484808454425363,-0.130612244897959,-0.0115397692194802,-0.00231816864676904,3.8,0.265374002850544,105.688412854461,100.210465771091,0.0874835633239262,0.4665,32.6,41.2,1.9,15.7,13.1
"19179",-0.0052771929824561,0.118550865275756,0.000938701446409285,-0.0427903273957607,5,0.279556132827924,60.0319060978106,110.425506621651,0.388679909991533,0.4332,36.4,29.7,5.6,15.6,16.6
"19181",0.133650621957815,0.154400524131907,0.0209525876798755,-0.0172675713996354,3.7,0.146506591453354,79.7259160298082,103.123867346574,0.162322640835622,0.3937,37.3,26.6,0.8,10.6,6.7
"19183",0.0396701068927388,-0.0305263157894737,0.00141796492412394,-0.0303513164883527,3.8,0.157527185847546,100.917217558839,120.46845292215,0.211804643050784,0.3694,35.7,33.8,3.3,11.6,8.2
"19185",0.0146806184600969,0.0409134157944815,0.00370087811462549,-0.0204024594745668,3.7,0.233336540951694,103.448006524322,156.075013697636,0.0804811844227653,0.4247,30.7,40.9,2.8,14.5,16
"19187",-0.0266750848393971,-0.0375,0.000536994155684534,-0.0508019109367002,4.6,0.226378638877979,92.7710928333107,108.663169133909,0.274343924891233,0.4436,34.5,30.6,1.5,14.7,14.3
