Total,TotalM,GEO_ID,NAME
3711,34,0500000US19001,"Adair County, Iowa"
2006,38,0500000US19003,"Adams County, Iowa"
7782,74,0500000US19005,"Allamakee County, Iowa"
6625,30,0500000US19007,"Appanoose County, Iowa"
3001,65,0500000US19009,"Audubon County, Iowa"
11144,64,0500000US19011,"Benton County, Iowa"
57894,154,0500000US19013,"Black Hawk County, Iowa"
11963,93,0500000US19015,"Boone County, Iowa"
10414,93,0500000US19017,"Bremer County, Iowa"
9094,61,0500000US19019,"Buchanan County, Iowa"
8285,82,0500000US19021,"Buena Vista County, Iowa"
6784,43,0500000US19023,"Butler County, Iowa"
5072,189,0500000US19025,"Calhoun County, Iowa"
9492,64,0500000US19027,"Carroll County, Iowa"
6577,53,0500000US19029,"Cass County, Iowa"
8181,99,0500000US19031,"Cedar County, Iowa"
22348,117,0500000US19033,"Cerro Gordo County, Iowa"
5770,70,0500000US19035,"Cherokee County, Iowa"
5708,76,0500000US19037,"Chickasaw County, Iowa"
4265,29,0500000US19039,"Clarke County, Iowa"
8232,66,0500000US19041,"Clay County, Iowa"
9122,79,0500000US19043,"Clayton County, Iowa"
22026,126,0500000US19045,"Clinton County, Iowa"
7065,138,0500000US19047,"Crawford County, Iowa"
36418,124,0500000US19049,"Dallas County, Iowa"
3597,26,0500000US19051,"Davis County, Iowa"
3853,47,0500000US19053,"Decatur County, Iowa"
8095,46,0500000US19055,"Delaware County, Iowa"
18603,78,0500000US19057,"Des Moines County, Iowa"
13854,54,0500000US19059,"Dickinson County, Iowa"
41299,181,0500000US19061,"Dubuque County, Iowa"
4809,99,0500000US19063,"Emmet County, Iowa"
9597,73,0500000US19065,"Fayette County, Iowa"
7580,70,0500000US19067,"Floyd County, Iowa"
4856,37,0500000US19069,"Franklin County, Iowa"
3454,38,0500000US19071,"Fremont County, Iowa"
4544,45,0500000US19073,"Greene County, Iowa"
5584,47,0500000US19075,"Grundy County, Iowa"
5804,50,0500000US19077,"Guthrie County, Iowa"
7195,42,0500000US19079,"Hamilton County, Iowa"
5333,30,0500000US19081,"Hancock County, Iowa"
8176,89,0500000US19083,"Hardin County, Iowa"
6821,67,0500000US19085,"Harrison County, Iowa"
8373,97,0500000US19087,"Henry County, Iowa"
4364,65,0500000US19089,"Howard County, Iowa"
4744,29,0500000US19091,"Humboldt County, Iowa"
3446,44,0500000US19093,"Ida County, Iowa"
7349,66,0500000US19095,"Iowa County, Iowa"
9550,58,0500000US19097,"Jackson County, Iowa"
16298,112,0500000US19099,"Jasper County, Iowa"
7640,117,0500000US19101,"Jefferson County, Iowa"
63623,290,0500000US19103,"Johnson County, Iowa"
8985,106,0500000US19105,"Jones County, Iowa"
4883,42,0500000US19107,"Keokuk County, Iowa"
7508,66,0500000US19109,"Kossuth County, Iowa"
16224,85,0500000US19111,"Lee County, Iowa"
97272,204,0500000US19113,"Linn County, Iowa"
5052,43,0500000US19115,"Louisa County, Iowa"
4214,28,0500000US19117,"Lucas County, Iowa"
5039,53,0500000US19119,"Lyon County, Iowa"
6980,53,0500000US19121,"Madison County, Iowa"
9869,81,0500000US19123,"Mahaska County, Iowa"
14236,103,0500000US19125,"Marion County, Iowa"
16793,152,0500000US19127,"Marshall County, Iowa"
6133,127,0500000US19129,"Mills County, Iowa"
4974,45,0500000US19131,"Mitchell County, Iowa"
4722,50,0500000US19133,"Monona County, Iowa"
4011,42,0500000US19135,"Monroe County, Iowa"
5233,43,0500000US19137,"Montgomery County, Iowa"
18159,91,0500000US19139,"Muscatine County, Iowa"
6690,102,0500000US19141,"O'Brien County, Iowa"
2956,44,0500000US19143,"Osceola County, Iowa"
7190,157,0500000US19145,"Page County, Iowa"
4596,53,0500000US19147,"Palo Alto County, Iowa"
10834,60,0500000US19149,"Plymouth County, Iowa"
3727,99,0500000US19151,"Pocahontas County, Iowa"
200593,247,0500000US19153,"Polk County, Iowa"
39936,124,0500000US19155,"Pottawattamie County, Iowa"
9134,101,0500000US19157,"Poweshiek County, Iowa"
2614,50,0500000US19159,"Ringgold County, Iowa"
5395,46,0500000US19161,"Sac County, Iowa"
74232,182,0500000US19163,"Scott County, Iowa"
5580,50,0500000US19165,"Shelby County, Iowa"
12928,122,0500000US19167,"Sioux County, Iowa"
39962,267,0500000US19169,"Story County, Iowa"
7794,84,0500000US19171,"Tama County, Iowa"
3105,28,0500000US19173,"Taylor County, Iowa"
5942,41,0500000US19175,"Union County, Iowa"
3646,44,0500000US19177,"Van Buren County, Iowa"
16070,117,0500000US19179,"Wapello County, Iowa"
20004,172,0500000US19181,"Warren County, Iowa"
9742,72,0500000US19183,"Washington County, Iowa"
3214,68,0500000US19185,"Wayne County, Iowa"
17022,145,0500000US19187,"Webster County, Iowa"
5200,76,0500000US19189,"Winnebago County, Iowa"
8976,116,0500000US19191,"Winneshiek County, Iowa"
42260,127,0500000US19193,"Woodbury County, Iowa"
3524,33,0500000US19195,"Worth County, Iowa"
6514,43,0500000US19197,"Wright County, Iowa"
