Total,TotalM,GEO_ID,NAME
3697,45,0500000US19001,"Adair County, Iowa"
2009,35,0500000US19003,"Adams County, Iowa"
7776,67,0500000US19005,"Allamakee County, Iowa"
6627,48,0500000US19007,"Appanoose County, Iowa"
3009,53,0500000US19009,"Audubon County, Iowa"
11131,79,0500000US19011,"Benton County, Iowa"
57603,162,0500000US19013,"Black Hawk County, Iowa"
11915,93,0500000US19015,"Boone County, Iowa"
10314,127,0500000US19017,"Bremer County, Iowa"
9080,60,0500000US19019,"Buchanan County, Iowa"
8296,76,0500000US19021,"Buena Vista County, Iowa"
6774,52,0500000US19023,"Butler County, Iowa"
5067,156,0500000US19025,"Calhoun County, Iowa"
9488,65,0500000US19027,"Carroll County, Iowa"
6591,64,0500000US19029,"Cass County, Iowa"
8214,74,0500000US19031,"Cedar County, Iowa"
22346,109,0500000US19033,"Cerro Gordo County, Iowa"
5785,80,0500000US19035,"Cherokee County, Iowa"
5695,53,0500000US19037,"Chickasaw County, Iowa"
4208,32,0500000US19039,"Clarke County, Iowa"
8219,73,0500000US19041,"Clay County, Iowa"
9099,104,0500000US19043,"Clayton County, Iowa"
21995,113,0500000US19045,"Clinton County, Iowa"
7030,125,0500000US19047,"Crawford County, Iowa"
34937,70,0500000US19049,"Dallas County, Iowa"
3597,28,0500000US19051,"Davis County, Iowa"
3856,62,0500000US19053,"Decatur County, Iowa"
8104,67,0500000US19055,"Delaware County, Iowa"
18566,79,0500000US19057,"Des Moines County, Iowa"
13620,81,0500000US19059,"Dickinson County, Iowa"
41065,184,0500000US19061,"Dubuque County, Iowa"
4795,118,0500000US19063,"Emmet County, Iowa"
9571,64,0500000US19065,"Fayette County, Iowa"
7555,61,0500000US19067,"Floyd County, Iowa"
4868,58,0500000US19069,"Franklin County, Iowa"
3445,55,0500000US19071,"Fremont County, Iowa"
4551,43,0500000US19073,"Greene County, Iowa"
5574,48,0500000US19075,"Grundy County, Iowa"
5786,46,0500000US19077,"Guthrie County, Iowa"
7189,41,0500000US19079,"Hamilton County, Iowa"
5311,85,0500000US19081,"Hancock County, Iowa"
8172,90,0500000US19083,"Hardin County, Iowa"
6807,67,0500000US19085,"Harrison County, Iowa"
8352,101,0500000US19087,"Henry County, Iowa"
4372,60,0500000US19089,"Howard County, Iowa"
4729,44,0500000US19091,"Humboldt County, Iowa"
3431,48,0500000US19093,"Ida County, Iowa"
7319,61,0500000US19095,"Iowa County, Iowa"
9518,83,0500000US19097,"Jackson County, Iowa"
16264,103,0500000US19099,"Jasper County, Iowa"
7614,164,0500000US19101,"Jefferson County, Iowa"
62280,287,0500000US19103,"Johnson County, Iowa"
8967,82,0500000US19105,"Jones County, Iowa"
4880,55,0500000US19107,"Keokuk County, Iowa"
7506,73,0500000US19109,"Kossuth County, Iowa"
16255,109,0500000US19111,"Lee County, Iowa"
96473,206,0500000US19113,"Linn County, Iowa"
5041,31,0500000US19115,"Louisa County, Iowa"
4216,25,0500000US19117,"Lucas County, Iowa"
5016,36,0500000US19119,"Lyon County, Iowa"
6883,47,0500000US19121,"Madison County, Iowa"
9839,80,0500000US19123,"Mahaska County, Iowa"
14167,121,0500000US19125,"Marion County, Iowa"
16766,145,0500000US19127,"Marshall County, Iowa"
6135,102,0500000US19129,"Mills County, Iowa"
4946,43,0500000US19131,"Mitchell County, Iowa"
4719,79,0500000US19133,"Monona County, Iowa"
3976,35,0500000US19135,"Monroe County, Iowa"
5230,225,0500000US19137,"Montgomery County, Iowa"
18097,109,0500000US19139,"Muscatine County, Iowa"
6676,92,0500000US19141,"O'Brien County, Iowa"
2964,36,0500000US19143,"Osceola County, Iowa"
7214,222,0500000US19145,"Page County, Iowa"
4620,43,0500000US19147,"Palo Alto County, Iowa"
10768,76,0500000US19149,"Plymouth County, Iowa"
3767,33,0500000US19151,"Pocahontas County, Iowa"
197248,274,0500000US19153,"Polk County, Iowa"
39925,208,0500000US19155,"Pottawattamie County, Iowa"
9105,92,0500000US19157,"Poweshiek County, Iowa"
2619,50,0500000US19159,"Ringgold County, Iowa"
5402,51,0500000US19161,"Sac County, Iowa"
73869,175,0500000US19163,"Scott County, Iowa"
5582,56,0500000US19165,"Shelby County, Iowa"
12816,113,0500000US19167,"Sioux County, Iowa"
39390,218,0500000US19169,"Story County, Iowa"
7792,75,0500000US19171,"Tama County, Iowa"
3104,33,0500000US19173,"Taylor County, Iowa"
5918,67,0500000US19175,"Union County, Iowa"
3655,41,0500000US19177,"Van Buren County, Iowa"
16066,98,0500000US19179,"Wapello County, Iowa"
19716,101,0500000US19181,"Warren County, Iowa"
9686,69,0500000US19183,"Washington County, Iowa"
3193,45,0500000US19185,"Wayne County, Iowa"
17044,139,0500000US19187,"Webster County, Iowa"
5201,89,0500000US19189,"Winnebago County, Iowa"
8927,116,0500000US19191,"Winneshiek County, Iowa"
42095,127,0500000US19193,"Woodbury County, Iowa"
3517,46,0500000US19195,"Worth County, Iowa"
6515,58,0500000US19197,"Wright County, Iowa"
